Idproyecto;año;fondo;instrumento;provincia;prov1;prov2;prov3;prov4;prov5;prov6;localidad;titulo;destinatario;otraentidad;areatematicanormalizada;montonominal;montorealBase2008;;
1231;2004;COFECyT;PFIP ;RÍO NEGRO;RÍO NEGRO;;;;;;;Incubadora de emprendimientos sociales para el desarrollo local ;Municipalidad San Carlos de Bariloche ;Provincia de Río Negro;Desarrollo productivo local;$ 102,871; $ 182,740 ;;
1232;2004;COFECyT;PFIP ;SALTA;SALTA;;;;;;;Proyecto piloto de producción y semindustralización del Yacón, hortaliza no tradicional;Municipio de Vaqueros ;Provincia de Salta;Desarrollo productivo local;$ 84,350; $ 149,840 ;;
1233;2004;COFECyT;PFIP ;SALTA;SALTA;;;;;;;Incorporación de vientres y genética en el ganado ovino de Los Toldos ;Municipio de Los Toldos ;Provincia de Salta;Desarrollo productivo local;$ 128,469; $ 228,213 ;;
1234;2004;COFECyT;PFIP ;SALTA;SALTA;;;;;;;Identificación y caracterización de mieles diferenciadas producidas por los pequeños productores apícolas de las localidades de Mosconi, Vespucio y El Galpón;Universidad Nacional de Salta ;Provincia de Salta;Desarrollo productivo local;$ 89,100; $ 158,278 ;;
1235;2004;COFECyT;PFIP ;SALTA;SALTA;;;;;;;Mejora tecnológica de un secador que utiliza energía solar tendiente a lograr una producción semiindustrial de pimiento seco bajo normas de calidad en la zona de los Valles Calchaquíes;Universidad Nacional de Salta ;Provincia de Salta;Desarrollo productivo local;$ 54,000; $ 95,926 ;;
1236;2004;COFECyT;PFIP ;SAN JUAN;SAN JUAN;;;;;;;Prototipo de deshidratador industrial automatizado de frutas y verduras ;Carlos Eduardo Otto ;Provincia de San Juan;Desarrollo productivo local;$ 10,518; $ 18,684 ;;
1237;2004;COFECyT;PFIP ;SAN JUAN;SAN JUAN;;;;;;;Diseño y construcción de un horno piloto para producción de cal a partir de finos no tratados ;Universidad Nacional de San Juan ;Provincia de San Juan;Desarrollo productivo local;$ 32,623; $ 57,952 ;;
1238;2004;COFECyT;PFIP ;SAN JUAN;SAN JUAN;;;;;;;Diseño y construcción de una planta piloto de peletización de minerales para mejoramiento de suelos;Instituto de Investigaciones Mineras de la Facultad de Ingeniería de la Universidad Nacional de San Juan;Provincia de San Juan;Desarrollo productivo local;$ 59,700; $ 106,051 ;;
1239;2004;COFECyT;PFIP ;SAN JUAN;SAN JUAN;;;;;;;Modulo de aislamiento medico sanitario ;Universidad Nacional de San Juan ;Provincia de San Juan;Desarrollo productivo local;$ 27,987; $ 49,716 ;;
1240;2004;COFECyT;PFIP ;SAN JUAN;SAN JUAN;;;;;;;Desarrollo lavadora automatizada dual para pasas de uva y tomates con destino a desecado ;Miguel Angel Martín ;Provincia de San Juan;Desarrollo productivo local;$ 36,818; $ 65,404 ;;
1241;2004;COFECyT;PFIP ;SAN JUAN;SAN JUAN;;;;;;;Mejoras tecnológicas para el desarrollo productivo, económico y social sustentable en la produccion primaria para la industria de jugo concentrado de uva;Cámara Argentina de Fabricantes y Exportadores de Mostos de Uva ;Provincia de San Juan;Desarrollo productivo local;$ 73,000; $ 129,677 ;;
