Identidades;identidad;nentidad;entidad;tipo1;tipo2;tipo3;tipo4;tipo5;tipoentidad;Idproyecto;año;fondo;instrumento;provincia;titulo;areatematicanormalizada;montorealxproyecto;montorealxpentidad;pentidad
1832;1832-2;2;ESCUELA DE EDUCACION AGROTECNICA N 39;Estado;Provincial;Institución educativa;ESCUELA DE EDUCACION AGROTECNICA N 39;ESCUELA DE EDUCACION AGROTECNICA N 39;beneficiario;1912;2017;COFECyT;ESPRO ;ENTRE RÍOS;SISTEMA BIOTEGNOLOGICO DE FITORREMEDIACION, PARA EL TRATAMIENTO DE EFLUENTES DEL SECTOR LACTEO, CADENA PRIMARIA Y SECUNDARIA;Desarrollo productivo regional; $ 181,567 ; $ 60,522 ;3
1833;1833-1;1;Laformed SA;Privado;Empresa privada;SA;Laformed SA;Laformed SA;beneficiario;3256;2023;COFECyT;PFI;FORMOSA;Producción sostenible de biolarvicida `para combatir el aedes aegypti, vector del dengue, chicungunya y zica en el norte Argentino, una solución para la emergencia sanitaria.;Desarrollo local; $ 265,220 ; $ 132,610 ;2
1834;1834-1;1;Laguna Blanca;Estado;Municipal;Municipio o comuna;Laguna Blanca;Laguna Blanca;beneficiario;345;2016;COFECyT;DETEM ;FORMOSA;Feria Franca Laguna Blanca: Tecnologías de fortalecimiento y mejoramiento integral de la cadena de producción y comercialización frutihortícola.;Desarrollo local; $ 86,176 ; $ 43,088 ;2
1834;1834-1;1;Laguna Blanca;Estado;Municipal;Municipio o comuna;Laguna Blanca;Laguna Blanca;beneficiario;591;2008;COFECyT;DETEM ;FORMOSA;Tratamiento de residuos orgánicos ;Desarrollo local; $ 61,625 ; $ 30,813 ;2
1835;1835-1;1;Laguna Yema;Estado;Municipal;Municipio o comuna;Laguna Yema;Laguna Yema;beneficiario;668;2010;COFECyT;DETEM ;FORMOSA;Riego localizado para una producción rentable ;Desarrollo local; $ 143,360 ; $ 71,680 ;2
1836;1836-1;1;Lamarque;Estado;Municipal;Municipio o comuna;Lamarque;Lamarque;beneficiario;501;2008;COFECyT;DETEM ;RÍO NEGRO;Modernización de la gestión municipal a partir de la implementación de las TICs ;Desarrollo local; $ 84,000 ; $ 42,000 ;2
1837;1837-1;1;Las Flores;Estado;Municipal;Municipio o comuna;Las Flores;Las Flores;beneficiario;273;2016;COFECyT;DETEM ;BUENOS AIRES;Desarrollo e implementación de sistemas para la mejora de la gestión municipal. ;Desarrollo local; $ 93,053 ; $ 46,527 ;2
1838;1838-1;1;Las Heras;Estado;Municipal;Municipio o comuna;Las Heras;Las Heras;beneficiario;553;2009;COFECyT;DETEM ;SANTA CRUZ;Premoldeados Las Heras. ;Desarrollo local; $ 103,419 ; $ 51,709 ;2
1839;1839-1;1;Las Lajas;Estado;Municipal;Municipio o comuna;Las Lajas;Las Lajas;beneficiario;573;2008;COFECyT;DETEM ;NEUQUÉN;Centro de acopio y fraccionamiento de alimento balanceado y fibras (CAFAByF) ;Desarrollo local; $ 99,889 ; $ 49,945 ;2
1840;1840-1;1;Las Parejas;Estado;Municipal;Municipio o comuna;Las Parejas;Las Parejas;beneficiario;279;2016;COFECyT;DETEM ;SANTA FE;Desarrollo de capacidades para la generación de energía solar y eficiencia energética en espacios públicos de la ciudad de Las Parejas.;Desarrollo local; $ 152,524 ; $ 76,262 ;2
1841;1841-1;1;Las Plumas;Estado;Municipal;Municipio o comuna;Las Plumas;Las Plumas;beneficiario;523;2009;COFECyT;DETEM ;CHUBUT;Reutilización de residuos orgánicos de procedencia equina en la Comuna Rural de Las Plumas;Desarrollo local; $ 104,006 ; $ 52,003 ;2
1842;1842-1;1;Las Talitas;Estado;Municipal;Municipio o comuna;Las Talitas;Las Talitas;beneficiario;477;2008;COFECyT;DETEM ;TUCUMÁN;Las Talitas, Inclusión digital al servicio ciudadano ;Desarrollo local; $ 87,675 ; $ 43,838 ;2
1843;1843-1;3;Las Varillas;Estado;Municipal;Municipio o comuna;Las Varillas;Las Varillas;beneficiario;1014;2017;COFECyT;DETEM ;CÓRDOBA;Tratamiento de residuos sólidos urbanos en 13 municipios de la región Este de Córdoba RSU-13 ;Desarrollo local; $ 484,178 ; $ 121,044 ;4
1843;1843-2;3;Sacanta;Estado;Municipal;Municipio o comuna;Sacanta;Sacanta;beneficiario;1014;2017;COFECyT;DETEM ;CÓRDOBA;Tratamiento de residuos sólidos urbanos en 13 municipios de la región Este de Córdoba RSU-13 ;Desarrollo local; $ 484,178 ; $ 121,044 ;4
1843;1843-3;3;El Fortín;Estado;Municipal;Municipio o comuna;El Fortín;El Fortín;beneficiario;1014;2017;COFECyT;DETEM ;CÓRDOBA;Tratamiento de residuos sólidos urbanos en 13 municipios de la región Este de Córdoba RSU-13 ;Desarrollo local; $ 484,178 ; $ 121,044 ;4
1844;1844-1;1;Lautaro Germán Córdoba;Privado;Persona física;Persona física;Lautaro Germán Córdoba;Lautaro Germán Córdoba;beneficiario;1317;2005;COFECyT;PFIP ;LA PAMPA;Instalación de un criadero intensivo experimental de perdiz colorada (Rhinchotus rufescens);Desarrollo productivo local; $ 75,133 ; $ 37,567 ;2
1845;1845-1;1;Lavalle;Estado;Municipal;Municipio o comuna;Lavalle;Lavalle;beneficiario;463;2008;COFECyT;DETEM ;MENDOZA;Abatimiento de boro en agua de consumo. ;Desarrollo local; $ 102,840 ; $ 51,420 ;2
1846;1846-1;1;Lavalle Cooperativa Frutihortícola Lacofrut Ltda.;Comunidad;Cooperativa;;Lavalle Cooperativa Frutihortícola Lacofrut Ltda.;Lavalle Cooperativa Frutihortícola Lacofrut Ltda.;beneficiario;3021;2014;Programa Nacional de Tecnologías para la Inclusión Social;PAD;MENDOZA;Diseño de envases de reuso para melones lavallinos, fortaleciendo la cadena de comercialización.;Diseño; $ 16,347 ; $ 8,174 ;2
1847;1847-1;3;LEDESMA S.A.A.I;Privado;Empresa privada;SA;Ledesma SAAI;Ledesma SAAI;beneficiario;854;2010;COFECyT;ESPRO ;JUJUY;Incorporación de nuevas tecnologías en la fabricación de equipos y maquinarias para la industria alco-azucarera;Desarrollo productivo regional; $ 1,098,925 ; $ 274,731 ;4
