N Registro;IDInst;Instrumento_INF;Título_INF;Fondo;Año;Proyectos adjudicados;Monto adjudicado nominal;Monto real adjudicado;;
173;44;EMPRETECNO PAEBT ;Programa de impulso a las Empresas de Base Tecnológica;FONARSEC;2015;; $ 4,429,913 ; $ 953,497 ;;
174;44;EMPRETECNO PAEBT ;Programa de impulso a las Empresas de Base Tecnológica;FONARSEC;2017; 16 ; $ 76,696,965 ; $ 9,283,744 ;;
175;44;EMPRETECNO PAEBT ;Programa de impulso a las Empresas de Base Tecnológica;FONARSEC;2018;; $ 2,612,526 ; $ 222,646 ;;
176;45;VACUNAS AR Ensayos in vivo;Ensayos in vivo de vacunas;FONARSEC;2021; 4 ; $ 240,000,000 ; $ 6,348,807 ;;
177;63;IP-COVID 19 FByB;IP-COVID 19 Fundación Bunge y Born;FONCYT;2020; 8 ; $ 16,559,907 ; $ 675,288 ;;
178;11;FINSET;Financiamiento fortalecimiento de capacidades para Servicios Tecnológicos (ANR?);FONTAR;2013; 15 ; $ 75,178,894 ; $ 28,733,605 ;;
179;11;FINSET;Financiamiento fortalecimiento de capacidades para Servicios Tecnológicos (ANR?);FONTAR;2014; 24 ; $ 113,383,147 ; $ 30,891,410 ;;
180;11;FINSET;Financiamiento fortalecimiento de capacidades para Servicios Tecnológicos (ANR?);FONTAR;2015; 23 ; $ 207,503,989 ; $ 44,663,280 ;;
181;11;FINSET;Financiamiento fortalecimiento de capacidades para Servicios Tecnológicos (ANR?);FONTAR;2016; 22 ; $ 223,863,123 ; $ 34,144,445 ;;
182;11;FINSET;Financiamiento fortalecimiento de capacidades para Servicios Tecnológicos (ANR?);FONTAR;2017;; $ 31,086,409 ; $ 3,762,838 ;;
183;58;FIT COVID;Fortalecimiento de Innovación Tecnológica COVID;FONTAR;2020; 3 ; $ 38,616,294 ; $ 1,574,715 ;;
184;57;FIT-AP;Fortalecimiento de Innovación Tecnológica Aglomerados Productivos;FONTAR;2011; 1 ; $ 3,425,693 ; $ 1,985,017 ;;
185;57;FIT-AP;Fortalecimiento de Innovación Tecnológica Aglomerados Productivos;FONTAR;2012; 4 ; $ 29,923,316 ; $ 14,175,756 ;;
186;57;FIT-AP;Fortalecimiento de Innovación Tecnológica Aglomerados Productivos;FONTAR;2013; 6 ; $ 116,408,237 ; $ 44,491,586 ;;
